Country,Year,LE
American Samoa,1950,61.0
American Samoa,1951,61.4
American Samoa,1952,61.6
American Samoa,1953,61.3
American Samoa,1954,62.1
American Samoa,1955,62.3
American Samoa,1956,62.6
American Samoa,1957,62.9
American Samoa,1958,63.3
American Samoa,1959,63.6
American Samoa,1960,64.7
American Samoa,1961,65.5
American Samoa,1962,65.9
American Samoa,1963,65.9
American Samoa,1964,66.3
American Samoa,1965,66.3
American Samoa,1966,58.8
American Samoa,1967,66.2
American Samoa,1968,66.2
American Samoa,1969,66.4
American Samoa,1970,66.6
American Samoa,1971,67.1
American Samoa,1972,67.3
American Samoa,1973,67.4
American Samoa,1974,67.7
American Samoa,1975,67.8
American Samoa,1976,68.0
American Samoa,1977,68.2
American Samoa,1978,68.5
American Samoa,1979,68.7
American Samoa,1980,68.9
American Samoa,1981,69.2
American Samoa,1982,69.3
American Samoa,1983,69.5
American Samoa,1984,69.7
American Samoa,1985,70.0
American Samoa,1986,70.2
American Samoa,1987,70.8
American Samoa,1988,70.4
American Samoa,1989,70.1
American Samoa,1990,69.9
American Samoa,1991,70.6
American Samoa,1992,70.6
American Samoa,1993,70.8
American Samoa,1994,70.8
American Samoa,1995,71.1
American Samoa,1996,71.1
American Samoa,1997,71.3
American Samoa,1998,71.3
American Samoa,1999,71.1
American Samoa,2000,71.0
American Samoa,2001,70.9
American Samoa,2002,71.3
American Samoa,2003,71.1
American Samoa,2004,72.0
American Samoa,2005,72.3
American Samoa,2006,72.1
American Samoa,2007,72.1
American Samoa,2008,72.1
American Samoa,2009,70.5
American Samoa,2010,72.1
American Samoa,2011,72.1
American Samoa,2012,72.3
American Samoa,2013,72.3
American Samoa,2014,72.3
American Samoa,2015,72.5
American Samoa,2016,72.4
American Samoa,2017,72.5
American Samoa,2018,72.5
American Samoa,2019,72.3
American Samoa,2020,72.4
American Samoa,2021,72.5
Andorra,1950,64.6
Andorra,1951,64.2
Andorra,1952,67.4
Andorra,1953,68.2
Andorra,1954,69.5
Andorra,1955,69.3
Andorra,1956,69.3
Andorra,1957,69.1
Andorra,1958,71.4
Andorra,1959,71.2
Andorra,1960,72.0
Andorra,1961,72.1
Andorra,1962,72.4
Andorra,1963,72.2
Andorra,1964,72.8
Andorra,1965,73.4
Andorra,1966,73.4
Andorra,1967,73.3
Andorra,1968,73.5
Andorra,1969,73.0
Andorra,1970,74.3
Andorra,1971,73.7
Andorra,1972,74.9
Andorra,1973,74.6
Andorra,1974,74.9
Andorra,1975,75.1
Andorra,1976,75.3
Andorra,1977,75.8
Andorra,1978,75.9
Andorra,1979,76.4
Andorra,1980,76.8
Andorra,1981,77.0
Andorra,1982,77.5
Andorra,1983,77.3
Andorra,1984,77.6
Andorra,1985,77.5
Andorra,1986,77.7
Andorra,1987,77.8
Andorra,1988,77.8
Andorra,1989,77.8
Andorra,1990,78.4
Andorra,1991,78.0
Andorra,1992,80.3
Andorra,1993,78.7
Andorra,1994,82.6
Andorra,1995,79.0
Andorra,1996,80.3
Andorra,1997,80.9
Andorra,1998,79.4
Andorra,1999,81.3
Andorra,2000,80.9
Andorra,2001,81.7
Andorra,2002,82.2
Andorra,2003,83.9
Andorra,2004,80.1
Andorra,2005,81.8
Andorra,2006,83.0
Andorra,2007,82.7
Andorra,2008,82.7
Andorra,2009,82.8
Andorra,2010,82.8
Andorra,2011,82.9
Andorra,2012,82.9
Andorra,2013,82.9
Andorra,2014,82.9
Andorra,2015,83.0
Andorra,2016,83.0
Andorra,2017,83.0
Andorra,2018,83.0
Andorra,2019,83.0
Andorra,2020,79.0
Andorra,2021,80.4
Antigua and Barbuda,1950,57.1
Antigua and Barbuda,1951,57.5
Antigua and Barbuda,1952,57.9
Antigua and Barbuda,1953,58.3
Antigua and Barbuda,1954,58.7
Antigua and Barbuda,1955,59.1
Antigua and Barbuda,1956,59.5
Antigua and Barbuda,1957,59.9
Antigua and Barbuda,1958,60.4
Antigua and Barbuda,1959,60.9
Antigua and Barbuda,1960,61.6
Antigua and Barbuda,1961,62.4
Antigua and Barbuda,1962,63.2
Antigua and Barbuda,1963,64.1
Antigua and Barbuda,1964,65.1
Antigua and Barbuda,1965,66.0
Antigua and Barbuda,1966,67.0
Antigua and Barbuda,1967,67.9
Antigua and Barbuda,1968,68.7
Antigua and Barbuda,1969,69.5
Antigua and Barbuda,1970,70.1
Antigua and Barbuda,1971,70.7
Antigua and Barbuda,1972,71.0
Antigua and Barbuda,1973,71.3
Antigua and Barbuda,1974,71.7
Antigua and Barbuda,1975,72.0
Antigua and Barbuda,1976,72.4
Antigua and Barbuda,1977,72.5
Antigua and Barbuda,1978,72.9
Antigua and Barbuda,1979,73.0
Antigua and Barbuda,1980,73.2
Antigua and Barbuda,1981,73.3
Antigua and Barbuda,1982,73.5
Antigua and Barbuda,1983,73.5
Antigua and Barbuda,1984,73.5
Antigua and Barbuda,1985,73.6
Antigua and Barbuda,1986,73.6
Antigua and Barbuda,1987,73.6
Antigua and Barbuda,1988,73.5
Antigua and Barbuda,1989,73.4
Antigua and Barbuda,1990,73.5
Antigua and Barbuda,1991,73.4
Antigua and Barbuda,1992,73.4
Antigua and Barbuda,1993,73.5
Antigua and Barbuda,1994,73.6
Antigua and Barbuda,1995,73.6
Antigua and Barbuda,1996,73.8
Antigua and Barbuda,1997,74.0
Antigua and Barbuda,1998,74.0
Antigua and Barbuda,1999,74.3
Antigua and Barbuda,2000,74.6
Antigua and Barbuda,2001,75.1
Antigua and Barbuda,2002,75.5
Antigua and Barbuda,2003,75.5
Antigua and Barbuda,2004,75.7
Antigua and Barbuda,2005,75.8
Antigua and Barbuda,2006,75.8
Antigua and Barbuda,2007,76.1
Antigua and Barbuda,2008,76.4
Antigua and Barbuda,2009,76.7
Antigua and Barbuda,2010,76.8
Antigua and Barbuda,2011,77.1
Antigua and Barbuda,2012,77.4
Antigua and Barbuda,2013,77.6
Antigua and Barbuda,2014,77.9
Antigua and Barbuda,2015,77.9
Antigua and Barbuda,2016,78.2
Antigua and Barbuda,2017,78.3
Antigua and Barbuda,2018,78.5
Antigua and Barbuda,2019,78.7
Antigua and Barbuda,2020,78.8
Antigua and Barbuda,2021,78.5
Argentina,1950,61.2
Argentina,1951,61.6
Argentina,1952,62.3
Argentina,1953,62.4
Argentina,1954,62.9
Argentina,1955,62.5
Argentina,1956,63.4
Argentina,1957,63.0
Argentina,1958,64.0
Argentina,1959,63.8
Argentina,1960,64.0
Argentina,1961,64.4
Argentina,1962,64.2
Argentina,1963,64.4
Argentina,1964,64.4
Argentina,1965,64.6
Argentina,1966,64.9
Argentina,1967,65.0
Argentina,1968,64.9
Argentina,1969,64.9
