Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Albania,1950-01-01,,,,,
Anguilla,1950-01-01,,,,,
Armenia,1950-01-01,,,,,
Azerbaijan,1950-01-01,,,,,
Bahamas,1950-01-01,,,,,
Bahrain,1950-01-01,,,,,
Belize,1950-01-01,,,,,
Bosnia and Herzegovina,1950-01-01,,,,,
Brazil,1950-01-01,,,,,
British Virgin Islands,1950-01-01,,,,,
Brunei,1950-01-01,,,,,
Cape Verde,1950-01-01,,,,,
Cayman Islands,1950-01-01,,,,,
Chile,1950-01-01,,,,,
China,1950-01-01,,,,,
Colombia,1950-01-01,,,,,
Cook Islands,1950-01-01,,,,,
Dominica,1950-01-01,,,,,
Dominican Republic,1950-01-01,,,,,
Ecuador,1950-01-01,,,,,
Falkland Islands,1950-01-01,,,,,
Fiji,1950-01-01,,,,,
French Guiana,1950-01-01,,,,,
French Polynesia,1950-01-01,,,,,
Georgia,1950-01-01,,,,,
Greenland,1950-01-01,,,,,
Grenada,1950-01-01,,,,,
Guadeloupe,1950-01-01,,,,,
Guam,1950-01-01,,,,,
Guyana,1950-01-01,,,,,
Jamaica,1950-01-01,,,,,
Jordan,1950-01-01,,,,,
Kazakhstan,1950-01-01,,,,,
Kosovo,1950-01-01,,,,,
Kuwait,1950-01-01,,,,,
Kyrgyzstan,1950-01-01,,,,,
Lebanon,1950-01-01,,,,,
Malaysia,1950-01-01,,,,,
Mauritius,1950-01-01,,,,,
Mayotte,1950-01-01,,,,,
Mexico,1950-01-01,,,,,
Micronesia (country),1950-01-01,,,,,
Moldova,1950-01-01,,,,,
Montserrat,1950-01-01,,,,,
New Caledonia,1950-01-01,,,,,
Niue,1950-01-01,,,,,
North Korea,1950-01-01,,,,,
North Macedonia,1950-01-01,,,,,
Palestine,1950-01-01,,,,,
Panama,1950-01-01,,,,,
Paraguay,1950-01-01,,,,,
Peru,1950-01-01,,,,,
Philippines,1950-01-01,,,,,
Qatar,1950-01-01,,,,,
Reunion,1950-01-01,,,,,
Russia,1950-01-01,,,,,
Saint Kitts and Nevis,1950-01-01,,,,,
Saint Lucia,1950-01-01,,,,,
Saint Vincent and the Grenadines,1950-01-01,,,,,
Samoa,1950-01-01,,,,,
Saudi Arabia,1950-01-01,,,,,
Seychelles,1950-01-01,,,,,
South Korea,1950-01-01,,,,,
Sri Lanka,1950-01-01,,,,,
Suriname,1950-01-01,,,,,
Syria,1950-01-01,,,,,
Thailand,1950-01-01,,,,,
Tokelau,1950-01-01,,,,,
Tonga,1950-01-01,,,,,
Trinidad and Tobago,1950-01-01,,,,,
Tunisia,1950-01-01,,,,,
Turkey,1950-01-01,,,,,
Turkmenistan,1950-01-01,,,,,
Turks and Caicos Islands,1950-01-01,,,,,
United Arab Emirates,1950-01-01,,,,,
Uzbekistan,1950-01-01,,,,,
Vanuatu,1950-01-01,,,,,
Venezuela,1950-01-01,,,,,
Vietnam,1950-01-01,,,,,
Wallis and Futuna,1950-01-01,,,,,
Albania,1951-01-01,,,,,
Anguilla,1951-01-01,,,,,
Armenia,1951-01-01,,,,,
Azerbaijan,1951-01-01,,,,,
Bahamas,1951-01-01,,,,,
Bahrain,1951-01-01,,,,,
Belize,1951-01-01,,,,,
Bosnia and Herzegovina,1951-01-01,,,,,
Brazil,1951-01-01,,,,,
British Virgin Islands,1951-01-01,,,,,
