Country,sMAPE,Cluster
Solomon Islands,0.6253012625908587,Cluster 1
Mauritania,1.0468520729150128,Cluster 1
Libya,1.1541420970921688,Cluster 1
Mongolia,1.217554446022973,Cluster 1
Papua New Guinea,1.3056398141351,Cluster 1
Marshall Islands,1.60660303933249,Cluster 1
Tuvalu,1.7836663344610502,Cluster 1
Tajikistan,1.888793085136468,Cluster 1
Gabon,1.9095054177461843,Cluster 1
Myanmar,2.397538149252544,Cluster 1
Pakistan,2.7435459759476024,Cluster 1
Indonesia,3.9133112818859894,Cluster 1
Kiribati,4.155909466547987,Cluster 1
Nicaragua,4.27508921609031,Cluster 1
Honduras,4.2862206973274874,Cluster 1
Ghana,4.981636856708451,Cluster 1
Sao Tome and Principe,5.065918505202865,Cluster 1
Oman,5.294465440670831,Cluster 1
India,5.3666454739690765,Cluster 1
Morocco,5.712984123729398,Cluster 1
Iran,6.057181003655277,Cluster 1
Egypt,6.0686281485753755,Cluster 1
Nauru,6.3059158275352925,Cluster 1
Iraq,6.806855076025029,Cluster 1
Guatemala,7.407206394212159,Cluster 1
Bangladesh,7.949418151765486,Cluster 1
Congo,9.34683719375007,Cluster 1
Maldives,9.632210930571986,Cluster 1
Palau,9.890211883301387,Cluster 1
Bolivia,10.159338203823827,Cluster 1
Kenya,11.443078903088866,Cluster 1
El Salvador,12.388252853600187,Cluster 1
Algeria,12.973781750417679,Cluster 1
South Africa,17.08037471056635,Cluster 1
Namibia,19.725941950952617,Cluster 1
Botswana,22.079209698685137,Cluster 1
Zimbabwe,40.3848507106532,Cluster 1
Togo,0.5230068081227666,Cluster 2
Burkina Faso,0.900542509777694,Cluster 2
Haiti,0.9505572791603351,Cluster 2
Nigeria,1.2146584144488337,Cluster 2
Mozambique,1.4165219936491396,Cluster 2
Somalia,1.43833767355406,Cluster 2
Djibouti,1.4902971694013234,Cluster 2
Burundi,1.843048427072294,Cluster 2
Ethiopia,2.0492853387468126,Cluster 2
Chad,2.1072699226556804,Cluster 2
Angola,2.522810091433796,Cluster 2
Guinea-Bissau,2.96296323731597,Cluster 2
Democratic Republic of Congo,2.9864872341690876,Cluster 2
Comoros,3.8477942385216144,Cluster 2
Sudan,4.071038958520791,Cluster 2
Rwanda,4.910546046225445,Cluster 2
Madagascar,4.937466419204959,Cluster 2
Senegal,5.206777747915395,Cluster 2
Uganda,5.469789291301909,Cluster 2
Laos,5.658256846035557,Cluster 2
Tanzania,5.764150152404598,Cluster 2
Malawi,5.953961937162218,Cluster 2
Eritrea,6.585699010338472,Cluster 2
Benin,6.738067735207961,Cluster 2
Gambia,7.868621271617729,Cluster 2
Cameroon,7.996976070805974,Cluster 2
Niger,8.141275221936594,Cluster 2
Bhutan,8.417861373873126,Cluster 2
Guinea,8.45593574398463,Cluster 2
Sierra Leone,8.811699593069697,Cluster 2
Liberia,8.832728941554583,Cluster 2
Mali,9.024096031923454,Cluster 2
Equatorial Guinea,9.068449537258525,Cluster 2
Cote d'Ivoire,10.277512278588045,Cluster 2
Afghanistan,11.486774944696739,Cluster 2
Nepal,11.971484571472505,Cluster 2
South Sudan,12.357764646106276,Cluster 2
Western Sahara,12.833291938232225,Cluster 2
Yemen,13.147036265086037,Cluster 2
Cambodia,14.708139053754769,Cluster 2
Central African Republic,15.744481703609464,Cluster 2
Zambia,19.022432514575634,Cluster 2
Timor,19.379729128595805,Cluster 2
Lesotho,27.8192213697802,Cluster 2
Eswatini,39.719938194224994,Cluster 2
Japan,0.26244194369767376,Cluster 3
Cyprus,0.34851709438400097,Cluster 3
Spain,0.41224084831675817,Cluster 3
Denmark,0.47389984862140033,Cluster 3
Hong Kong,0.6546830037275118,Cluster 3
Slovenia,0.7253789598848747,Cluster 3
Bermuda,0.8286030767701781,Cluster 3
American Samoa,0.8782608956852062,Cluster 3
Saint Martin (French part),0.8834510025826553,Cluster 3
Malta,0.8947363426418987,Cluster 3
Croatia,0.9349061865744283,Cluster 3
Costa Rica,0.9640273150941641,Cluster 3
United States Virgin Islands,1.0140219493523133,Cluster 3
Curacao,1.0184916604124148,Cluster 3
Sint Maarten (Dutch part),1.0791553017523798,Cluster 3
Singapore,1.1810508743017896,Cluster 3
Portugal,1.2857628661559757,Cluster 3
Puerto Rico,1.2963674007283619,Cluster 3
Greece,1.3432292742570333,Cluster 3
Ireland,1.3492088466622403,Cluster 3
Hungary,1.4305209082745751,Cluster 3
Bonaire Sint Eustatius and Saba,1.455096210856013,Cluster 3
Aruba,1.500464513826338,Cluster 3
Slovakia,1.503685260140655,Cluster 3
Serbia,1.515460393519125,Cluster 3
Finland,1.588173154450872,Cluster 3
