Country,ds,y_tr,y_repr_tr,adjusted_val,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Algeria,1950-01-01,42.4,40.0,2.3999999999999986,,,,,
Bangladesh,1950-01-01,38.2,40.0,-1.7999999999999972,,,,,
Bolivia,1950-01-01,40.6,40.0,0.6000000000000014,,,,,
Botswana,1950-01-01,44.9,40.0,4.899999999999999,,,,,
Congo,1950-01-01,40.1,40.0,0.10000000000000142,,,,,
Egypt,1950-01-01,35.4,40.0,-4.600000000000001,,,,,
El Salvador,1950-01-01,42.4,40.0,2.3999999999999986,,,,,
Gabon,1950-01-01,39.6,40.0,-0.3999999999999986,,,,,
Ghana,1950-01-01,43.1,40.0,3.1000000000000014,,,,,
Guatemala,1950-01-01,39.4,40.0,-0.6000000000000014,,,,,
Honduras,1950-01-01,42.7,40.0,2.700000000000003,,,,,
India,1950-01-01,41.7,40.0,1.7000000000000028,,,,,
Indonesia,1950-01-01,39.4,40.0,-0.6000000000000014,,,,,
Iran,1950-01-01,39.0,40.0,-1.0,,,,,
Iraq,1950-01-01,39.0,40.0,-1.0,,,,,
Kenya,1950-01-01,38.9,40.0,-1.1000000000000014,,,,,
Kiribati,1950-01-01,45.7,40.0,5.700000000000003,,,,,
Libya,1950-01-01,33.6,40.0,-6.399999999999999,,,,,
Maldives,1950-01-01,37.4,40.0,-2.6000000000000014,,,,,
Marshall Islands,1950-01-01,52.1,40.0,12.100000000000001,,,,,
Mauritania,1950-01-01,38.7,40.0,-1.2999999999999972,,,,,
Mongolia,1950-01-01,39.6,40.0,-0.3999999999999986,,,,,
Morocco,1950-01-01,39.1,40.0,-0.8999999999999986,,,,,
Myanmar,1950-01-01,35.4,40.0,-4.600000000000001,,,,,
Namibia,1950-01-01,41.5,40.0,1.5,,,,,
Nauru,1950-01-01,56.7,40.0,16.700000000000003,,,,,
Nicaragua,1950-01-01,41.0,40.0,1.0,,,,,
Oman,1950-01-01,29.7,40.0,-10.3,,,,,
Pakistan,1950-01-01,35.0,40.0,-5.0,,,,,
Palau,1950-01-01,52.9,40.0,12.899999999999999,,,,,
Papua New Guinea,1950-01-01,39.1,40.0,-0.8999999999999986,,,,,
Sao Tome and Principe,1950-01-01,40.1,40.0,0.10000000000000142,,,,,
Solomon Islands,1950-01-01,40.0,40.0,0.0,,,,,
South Africa,1950-01-01,43.5,40.0,3.5,,,,,
Tajikistan,1950-01-01,50.9,40.0,10.899999999999999,,,,,
Tuvalu,1950-01-01,36.8,40.0,-3.200000000000003,,,,,
Zimbabwe,1950-01-01,49.6,40.0,9.600000000000001,,,,,
Algeria,1951-01-01,42.5,40.5,2.0,,,,,
Bangladesh,1951-01-01,38.9,40.5,-1.6000000000000014,,,,,
Bolivia,1951-01-01,40.7,40.5,0.20000000000000284,,,,,
Botswana,1951-01-01,45.3,40.5,4.799999999999997,,,,,
Congo,1951-01-01,40.6,40.5,0.10000000000000142,,,,,
Egypt,1951-01-01,35.7,40.5,-4.799999999999997,,,,,
El Salvador,1951-01-01,42.4,40.5,1.8999999999999986,,,,,
Gabon,1951-01-01,40.3,40.5,-0.20000000000000284,,,,,
Ghana,1951-01-01,43.6,40.5,3.1000000000000014,,,,,
Guatemala,1951-01-01,40.4,40.5,-0.10000000000000142,,,,,
Honduras,1951-01-01,42.9,40.5,2.3999999999999986,,,,,
India,1951-01-01,41.7,40.5,1.2000000000000028,,,,,
Indonesia,1951-01-01,39.8,40.5,-0.7000000000000028,,,,,
Iran,1951-01-01,39.2,40.5,-1.2999999999999972,,,,,
Iraq,1951-01-01,40.6,40.5,0.10000000000000142,,,,,
Kenya,1951-01-01,39.1,40.5,-1.3999999999999986,,,,,
