Country,1950-01-01,1951-01-01,1952-01-01,1953-01-01,1954-01-01,1955-01-01,1956-01-01,1957-01-01,1958-01-01,1959-01-01,1960-01-01,1961-01-01,1962-01-01,1963-01-01,1964-01-01,1965-01-01,1966-01-01,1967-01-01,1968-01-01,1969-01-01,1970-01-01,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01
Afghanistan,27.7,28.0,28.4,28.9,29.2,29.9,30.4,30.9,31.5,32.0,32.5,33.1,33.5,34.0,34.5,35.0,35.5,35.9,36.4,36.9,37.4,37.9,38.4,39.0,39.5,40.1,40.6,41.2,40.3,39.1,39.6,40.2,37.8,38.2,33.3,33.6,39.4,39.8,44.0,45.2,46.0,46.7,47.6,51.5,51.5,52.5,53.2,53.6,52.9,54.8,55.3,55.8,56.5,57.3,57.9,58.4,58.7,59.1,59.9,60.4,60.9,61.4,61.9,62.4,62.5,62.7,63.1,63.0,63.1,63.6,62.6,62.0
Angola,36.3,36.4,36.5,36.7,36.9,37.1,37.3,37.5,37.7,38.0,38.2,37.3,37.5,37.8,38.1,38.5,38.8,39.1,39.5,39.8,40.2,40.6,40.9,41.3,41.7,41.2,41.2,41.4,41.8,42.2,42.4,42.8,43.1,42.1,42.4,42.6,42.8,40.9,41.5,41.8,41.9,43.8,42.2,42.1,43.4,45.8,46.0,46.3,45.1,45.4,46.0,46.6,47.4,49.6,50.6,51.6,52.4,53.6,54.6,55.8,56.7,57.6,58.6,59.3,60.0,60.7,61.1,61.7,62.1,62.4,62.3,61.6
Benin,35.0,35.2,35.5,35.8,36.1,36.4,36.8,37.1,37.5,37.9,38.2,38.5,38.9,39.3,39.8,40.2,40.6,41.1,41.5,41.8,42.2,42.6,43.2,43.6,44.1,44.7,45.5,46.2,47.0,47.4,47.9,48.3,48.8,49.3,49.7,50.4,51.1,51.7,52.3,52.7,53.3,53.6,54.1,54.5,54.9,55.3,55.6,56.0,56.2,56.5,56.6,56.7,56.6,56.7,56.8,57.1,57.5,57.7,57.9,58.0,58.4,58.5,58.7,59.0,59.1,59.4,59.5,59.9,60.1,60.5,60.1,59.8
Bhutan,30.1,30.2,30.5,30.8,31.1,31.5,31.8,32.2,32.6,33.0,33.5,33.9,34.5,35.0,35.6,36.2,36.9,37.6,38.3,39.1,40.0,40.8,41.6,42.5,43.3,44.1,44.9,45.8,46.6,47.4,48.2,49.0,49.9,50.6,51.4,52.1,52.9,53.7,54.5,55.3,56.0,56.6,57.4,58.1,58.6,59.5,60.2,60.9,61.5,62.2,62.0,63.4,64.1,64.7,65.3,65.8,66.4,67.0,67.5,67.9,68.4,68.9,69.3,69.7,70.0,70.3,70.6,70.8,71.1,71.4,71.6,71.8
Burkina Faso,33.1,33.4,33.6,33.8,34.1,34.5,34.7,35.0,35.3,35.6,35.9,36.2,36.7,37.0,37.3,37.7,37.9,38.3,38.5,38.9,39.2,39.6,40.1,40.5,41.4,42.3,43.2,44.1,45.1,45.9,46.5,46.9,47.6,48.1,48.6,48.9,49.0,49.1,49.1,49.2,49.4,49.5,49.4,49.2,49.3,49.4,49.6,49.4,50.0,50.3,50.8,51.1,51.3,51.8,52.4,53.1,53.7,54.4,55.3,56.0,56.5,57.1,57.6,57.8,58.4,58.8,59.3,59.5,60.0,60.0,59.7,59.3
Burundi,40.6,40.8,41.0,41.3,41.6,41.9,42.1,42.3,42.6,42.8,43.0,43.3,43.4,43.7,44.0,42.0,43.5,43.3,43.4,42.9,43.0,43.0,25.6,37.3,43.0,43.0,43.1,43.5,43.8,44.6,45.4,46.4,47.3,48.1,48.5,48.5,48.2,47.5,43.0,45.6,44.9,44.2,43.9,37.1,44.1,44.1,44.4,45.4,46.6,47.5,47.5,48.4,49.9,50.9,52.0,53.0,53.9,54.7,55.7,56.4,57.1,57.8,58.5,59.2,59.9,60.2,60.8,61.6,61.7,62.4,61.6,61.7
Cambodia,38.9,39.2,39.5,39.7,40.2,40.4,40.8,41.2,41.5,41.8,42.4,42.8,43.3,43.9,44.4,44.8,45.4,45.5,45.8,46.2,39.1,39.5,40.2,40.0,39.8,12.0,12.0,28.9,37.0,42.3,47.6,48.2,48.7,49.5,50.2,51.0,51.5,53.5,54.3,54.8,55.4,55.8,56.0,56.1,56.0,56.3,56.3,56.7,57.0,57.7,58.6,60.0,61.2,62.5,63.6,64.3,65.1,65.7,66.5,67.4,67.7,68.4,68.9,69.3,69.7,69.9,70.2,70.5,70.6,70.7,70.4,69.6
Cameroon,34.5,34.6,35.0,35.4,36.4,37.4,38.3,38.3,39.1,39.8,34.8,35.4,42.5,42.9,43.3,43.9,44.4,45.2,46.0,46.8,47.6,48.3,48.9,49.3,49.6,49.7,49.9,50.0,50.3,50.6,51.0,51.5,52.1,52.8,53.2,53.9,54.0,54.7,54.9,54.9,54.9,54.7,54.5,54.1,53.5,53.2,52.8,52.7,52.6,52.7,52.9,53.1,53.4,53.9,54.2,54.4,54.9,55.2,55.7,56.1,56.6,57.1,57.8,58.5,58.9,59.7,60.2,60.8,61.2,61.6,60.8,60.3
Central African Republic,35.4,35.6,36.0,36.4,36.8,37.2,37.6,38.0,38.4,38.7,39.2,39.7,40.3,40.8,41.3,41.9,42.5,43.2,43.8,44.4,45.1,45.7,46.3,46.9,47.4,47.9,48.4,48.8,49.2,49.6,49.9,50.2,50.3,50.4,50.5,50.5,50.5,50.4,50.2,50.0,49.6,49.3,48.8,48.4,47.9,47.4,46.8,46.3,46.0,45.8,45.4,45.4,45.4,45.8,46.0,46.4,46.9,47.4,48.0,48.6,49.3,49.9,50.7,50.9,50.6,52.8,53.5,53.7,54.4,55.0,54.6,53.9
Chad,36.2,36.3,36.5,36.8,37.0,37.2,37.5,37.7,37.9,38.2,38.4,38.6,38.8,39.1,39.3,39.1,39.2,39.5,39.9,40.3,40.6,40.2,41.4,41.8,41.8,41.9,42.0,42.3,42.5,42.8,43.1,43.3,43.7,44.2,44.5,45.0,45.2,42.8,45.8,45.9,44.7,45.9,46.1,46.3,46.4,46.7,47.0,47.2,47.2,47.4,47.4,47.8,47.9,48.2,48.2,48.3,48.3,48.8,49.0,49.2,49.6,50.0,50.5,50.8,51.2,51.6,52.1,52.3,52.8,53.3,52.8,52.5
